,ITE_ITEM_TITLE,DESC,CLUSTER
0,tenis ascension posh masculino  preto e vermelho ,tenis ascension posh masculino  preto e vermelho ,2
1,tenis para caminhada super levinho spider corrida ,tenis para caminhada super levinho spider corrida ,2
2,tenis feminino le parc hocks blackice original envio ja,tenis feminino le parc hocks blackice original envio j,1
3,tenis olympikus esportivo academia nova tendencia triunfo ,tenis olympikus esportivo academia nova tendencia triunfo ,2
4,inteligente led bicicleta tauda luz usb bicicleta carregave,inteligente led bicicleta tauda luz usb bicicleta carregav,0
5,tenis casual masculino zarato 941 preto 632,tenis casual masculino zarato 941 preto 632,2
6,tenis infantil ortopasso conforto jogging,tenis infantil ortopasso conforto jogging,2
7,tv samsung qled 8k q800t semi nova,tv samsung qled 8k q800t semi nov,0
8,tenis usthemp short tematico  maria viralata 2,tenis usthemp short tematico  maria viralata 2,2
9,sapatenis west coast urban couro masculino,sapatenis west coast urban couro masculin,2
10,sapatilha bike absolute nero mtb para pedal clip com tacos,sapatilha bike absolute nero mtb para pedal clip com tac,0
11,sapatenis casual combo 3 pares infantil dex,sapatenis casual combo 3 pares infantil dex,2
12,kit tenis slip feminino com mochila grande e mascara black ,kit tenis slip feminino com mochila grande e mascara black ,1
13,adidas superstar run dmc,adidas superstar run dmc,2
14,tenis molekinha chunky flatform infantil sem cadarco menina,tenis molekinha chunky flatform infantil sem cadarco menin,2
15,tenis infantil feminino kidy hype nude,tenis infantil feminino kidy hype nud,1
16,bicicleta masculina com aro 24 com nf ,bicicleta masculina com aro 24 com nf ,0
17,tenis  feminino pimenta doce plataforma chunky sneaker,tenis  feminino pimenta doce plataforma chunky sneak,1
18,smart tv led 40 philco ptv40e60sn full hd conversor digital,smart tv led 40 philco ptv40e60sn full hd conversor digit,0
19,tenis actvitta sevilha preto,tenis actvitta sevilha pret,2
20,tenis super star caminhada estilo casual marinho unissex nf,tenis super star caminhada estilo casual marinho unissex nf,2
21,tenis feminino de fazer caminhada corrida academia barato,tenis feminino de fazer caminhada corrida academia barat,1
22,tenis feminino casual  blogueira juliette plataforma,tenis feminino casual  blogueira juliette plataform,1
23,tenis moleca nude com corda 5674104,tenis moleca nude com corda 5674104,2
24,chuteira society infantil umbro speed iv jr confort original,chuteira society infantil umbro speed iv jr confort orig,2
25,nike air max 2013,nike air max 2013,2
26,tenis antiviral piccadilly slipon sem cadarco napa branco,tenis antiviral piccadilly slipon sem cadarco napa branc,2
27,tenis via marte juliete bbb feminino cor branco,tenis via marte juliete bbb feminino cor branc,1
28,caicara cargo 80 bicicleta motorizada suspensao freio adisco,caicara cargo 80 bicicleta motorizada suspensao freio adisc,0
29,tenis vizzano slip on monograma,tenis vizzano slip on monogram,1
30,tenis fila masculino preto corrida caminhada academia ,tenis fila masculino preto corrida caminhada academia ,2
31,tenis casual preto elastico ,tenis casual preto elastico ,1
32,lubrificante lube cera 25g,lubrificante lube cera 25g,2
33,tenis  sneacker feminino surfista  cheia de marra conforte,tenis  sneacker feminino surfista  cheia de marra confort,1
34,sapatilha mtb bike shiver preta  cinza,sapatilha mtb bike shiver preta  cinz,0
35,tenis feminino top star injetado preto,tenis feminino top star injetado pret,1
36,combo 2 tenis vivet feminino original a pronta entrega,combo 2 tenis vivet feminino original a pronta entreg,1
